accn,category,date,box_original,box_new,description,
2023.09.07,dress,1930,9,CHRIS,Wacky colorful print --> belongs to Chris!,
2023.09.08,dress,1913,9,2C.1,"Tan silk; asymmetrical lace lapel, likely an at-home gown",
2023.09.09,dress,1930,9,CHRIS,Mint green velvet --> belongs to Chris!,
2023.09.10,jacket,1930,9,CHRIS,Mint green velvet --> belongs to Chris!,
2023.09.11,dress,1930,9,1C.3,Crimson crepe w sequin sleeves,
2023.09.12,dress,1920,9,1C.3,black chiffon w lace yoke,
2023.09.13,dress,1875,9,2D.1,Brown figured silk **MOVED TO BOX 9A**,
2023.09.14,dress,NA,9,DEACC,Navy lace with green bodice and lots of patches --> deaccessioned,
2023.10.01,skirt,1905,10,1C.1,Beige + blue floral print cotton voile with ruffles,
2023.10.02,skirt,1910,10,1C.1,Beige and pink floral print with ruffles,
2023.10.03,skirt,1890,10,2C.2,Light yellow silk,
2023.10.04,skirt,1890,10,2C.2,Brown/purple silk w braided cord hem,
2023.10.05,skirt,1905,10,2C.2,Black and white stripe with ruffles,
2023.11.01,shoes,NA,11,COSTUMES,black leather pumps with ribbon fastener --> moved to drawer below antique hat cabinet,
2023.11.02,shoes,NA,11,COSTUMES,black leather pumps with tongue --> moved to drawer below antique hat cabinet,
2023.11.03,shawl,NA,11,2B.3,"black lace, triangular shape",
2023.11.04,dress,NA,11,DEACC,"beige pleated chiffon, v-neck, rhinestones --> deaccessioned",
2023.11.05,bodice,1890,11,1C.2,purple brown green,
2023.11.06,bodice,1880,11,1C.2,black silk with covered buttons,
2023.11.07,waistcoat,1845,11,1B.2,purple + silver brocade,
2023.11.08,fabric,NA,11,COSTUMES,bag of black lace pieces,
2023.11.09,fabric,NA,11,COSTUMES,bag of white lace pieces,
2023.11.10,collar,NA,11,2B.3,off-white collar with square-patterned lace,
2023.11.11,collar,NA,11,2B.3,off-white collar with round lace,
2023.12.01,bodice,1890,12,1A.1,maroon velvet with cream lace,
2023.12.02,bodice,1890,12,1C.2,black wool with velvet sleeves,
2023.12.03,bodice,1870,12,1A.1,cream and brown silk with gold piping and brown fringe,Keep accessible!!
2023.12.04,bodice,1865,12,1D.1,greenish-tan silk with red velvet trim,Keep accessible!!
2023.12.05,bodice,1900,12,1A.1,tan with woven diamond pattern and light purple vertical stripes,
2023.12.06,bodice,1897,12,1C.2,brown silk faille with puff-shoulder sleeves,
2023.12.07,jacket,NA,12,1C.2,black taffeta men's 3-button jacket,
2023.12.08,sleeves,NA,12,DEACC,modern polyester sleeves --> deaccessioned,
2023.12.09,bodice,NA,12,DEACC,"black velvet bodice with gold lining, missing sleeves --> deaccessioned",
2023.12.10,bodice,1897,12,1A.1,bright pink taffeta bodice with tan chiffon overlay,
2023.12.11,bodice,1900,12,1C.2,light brown/yellowish bodice with grey/brown floral inset,
2023.12.12,bodice,1895,12,1A.1,red bodice with black lace overlay,
2023.12.13,blouse,1930,12,2B.1,tulle blouse,
2023.13.01,skirt,1900,13,2C.2,White linen with lace inserts,
2023.13.02,underwear,1870,13,1D.3,"white linen ""breeches""/bloomers",
2023.13.03,skirt,1880,13,1D.2,brown wool with horseshoe print and ruffles,
2023.13.04,skirt,1880,13,2C.2,black taffeta with knife pleats and brown waistband/lining,
2023.13.05,skirt,1910,13,2B.2,black with ruffles --> potentially missing drawstring bc waist is very big,
2023.13.06,skirt,NA,13,DEACC,Black satin with ruffles --> deaccessioned,
2023.13.07,skirt,1855,13,2C.2,"black wool with two stripes of fluffy trim, cartridge pleats",
2023.13.08,skirt,1900,13,1D.2,camel wool flannel with satin ribbon trim,
2023.13.09,skirt,1905,13,2C.2,black crepe with shamrocks ,
2023.13.10,skirt,1900,13,1D.2,black wool with diagonal satin ribbon stripes,
2023.13.11,skirt,NA,13,2B.2,"pale pink lightweight linen/cotton, tucks at hem and very short",
2023.14.01,skirt,1900,14,1D.1,"black skirt with tan/pink floral print, ruffled hem",
2023.14.02,skirt,1895,14,1D.1,pink abstract print with ruffles,
2023.14.03,bodice,1895,14,1D.1,"pink abstract print, big sleeves (matches 2023.14.02)",
2023.14.04,bodice,1900,14,1D.1,"black with tan/pink floral print, lace jabot (matches 2023.14.01)",
2023.14.05,bodice,NA,14,COSTUMES,"crimson bodice with black velvet trim --> modern replica, now in the good room",
2023.14.06,skirt,NA,14,COSTUMES,crimson skirt with black + white lace --> modern replica,
2023.14.07,belt,1900,14,1D.1,"black with tan/pink floral print, matches 2023.14.01",
2023.14.08,bodice,1865,14,1C.2,warm brown silk taffeta with velvet trim,
2023.14.09,bodice,1880,14,1C.2,green with velvet and embroidered trim and brown contrasting side panels,
2023.14.10,bodice,1865,14,1C.2,teal silk with woven blue/white strips and satin ribbon trim,
2023.14.11,skirt,1888,14,1D.1,teal with navy velvet trim and cream/brown plaid,
2023.14.12,bodice,1888,14,1D.1,teal with navy velvet trim and cream/brown plaid (matches 2023.14.11),
2023.14.13,skirt,1910,14,2B.2,brown taffeta,
2023.14.14,bodice,1897,14,1D.1,black cotton floral print with sleeve ruffles,
2023.14.15,skirt,1897,14,1D.1,black cotton floral print (matches 2023.14.14),
2023.14.16,belt,NA,14,2B.3,black velvet with tassels,
2023.15.01,wrapper,1900,15,2C.1,purple striped silk,
2023.15.02,dress,1850,15,2B.2,plaid cotton with black buttons,
